grow_policy,max_depth,max_leaves,learning_rate,min_child_weight,subsample,colsample_bytree,reg_alpha,reg_lambda,accuracy,auc,best_iteration,complexity
depthwise,6,0,0.01,1,0.8,0.8,0.0,2.0,0.6866550023858756,0.7596678552112985,2720,6
depthwise,6,0,0.005,1,0.8,0.8,0.1,1.0,0.6848258310800064,0.7596458938535726,4890,6
depthwise,4,0,0.0025,1,0.8,1.0,0.0,2.0,0.6845077143311595,0.7596299162067939,13001,4
lossguide,0,32,0.01,1,0.8,0.8,0.1,1.0,0.6864164148242405,0.7596223385263341,3152,32
depthwise,6,0,0.01,1,0.8,0.8,0.0,1.0,0.6854620645777,0.7596208078095803,2652,6
depthwise,6,0,0.01,1,0.8,0.8,0.1,2.0,0.6852234770160649,0.7596168481869027,2801,6
lossguide,0,32,0.01,10,0.8,0.8,0.1,1.0,0.6853825353904883,0.75959491213028,2994,32
depthwise,6,0,0.005,1,0.8,0.8,0.0,2.0,0.6848258310800064,0.7595860061418934,5094,6
depthwise,6,0,0.005,5,0.8,0.8,0.0,1.0,0.6845077143311595,0.7595815278465968,5095,6
depthwise,6,0,0.01,10,0.8,0.8,0.1,1.0,0.6855415937649117,0.7595746965486867,2815,6
depthwise,6,0,0.01,5,0.8,0.8,0.1,2.0,0.6859392397009703,0.7595744308871012,2815,6
depthwise,4,0,0.01,1,1.0,1.0,0.0,1.0,0.6859392397009703,0.759566473690091,4871,4
depthwise,6,0,0.005,10,0.8,0.8,0.0,1.0,0.684110068395101,0.7595546327737135,4905,6
depthwise,6,0,0.005,1,0.8,0.8,0.1,2.0,0.6844281851439479,0.7595342906866032,5094,6
depthwise,6,0,0.01,10,0.8,1.0,0.0,1.0,0.6844281851439479,0.7595282057712424,3043,6
depthwise,4,0,0.0025,5,1.0,1.0,0.0,1.0,0.684905360267218,0.7595207292951963,17204,4
depthwise,6,0,0.005,10,0.8,0.8,0.0,2.0,0.6847463018927946,0.7595186925563748,4899,6
depthwise,6,0,0.005,5,0.8,0.8,0.1,1.0,0.684666772705583,0.7595179461738255,4680,6
depthwise,6,0,0.01,10,0.8,0.8,0.1,2.0,0.6872912358835692,0.7595018420215298,2704,6
depthwise,6,0,0.005,5,0.8,0.8,0.1,2.0,0.684110068395101,0.7594853963043386,5094,6
depthwise,6,0,0.01,5,0.8,1.0,0.0,1.0,0.6843486559567361,0.759468204204598,2720,6
depthwise,6,0,0.01,10,0.8,0.8,0.0,1.0,0.6860187688881819,0.7594508476476857,2719,6
depthwise,4,0,0.0025,1,1.0,1.0,0.1,2.0,0.6855415937649117,0.7594461795941136,17773,4
depthwise,6,0,0.0025,5,0.8,0.8,0.1,1.0,0.6845077143311595,0.7594321248311912,9857,6
depthwise,6,0,0.005,5,0.8,0.8,0.0,2.0,0.6848258310800064,0.759427178465482,4904,6
lossguide,0,32,0.005,5,0.8,0.8,0.1,2.0,0.6853825353904883,0.7594227887240472,4804,32
depthwise,6,0,0.01,10,0.8,1.0,0.1,1.0,0.6850644186416415,0.7594227760734955,3283,6
depthwise,4,0,0.01,1,1.0,1.0,0.1,1.0,0.6853825353904883,0.7594191453651618,4418,4
depthwise,6,0,0.01,1,0.8,0.8,0.1,1.0,0.6840305392078893,0.7594121243089763,2650,6
depthwise,6,0,0.01,10,0.8,1.0,0.1,2.0,0.6858597105137586,0.7593808900968647,3056,6
depthwise,4,0,0.0025,5,1.0,1.0,0.0,2.0,0.6849848894544298,0.7593668606350457,16827,4
depthwise,6,0,0.0025,1,0.8,1.0,0.0,2.0,0.6829171305869254,0.7593466450534522,9799,6
depthwise,6,0,0.0025,1,0.8,0.8,0.1,2.0,0.6837919516462542,0.7593325143872194,9398,6
depthwise,4,0,0.005,10,1.0,0.8,0.1,1.0,0.6855415937649117,0.759327985489716,7444,4
depthwise,6,0,0.01,10,0.8,1.0,0.0,2.0,0.6845872435183712,0.7593179789033329,2896,6
depthwise,4,0,0.005,1,1.0,1.0,0.1,1.0,0.684905360267218,0.7593171819185766,9248,4
lossguide,0,32,0.005,5,0.8,0.8,0.0,1.0,0.6836328932718307,0.7593129313332102,4892,32
lossguide,0,32,0.005,10,0.8,0.8,0.1,2.0,0.6845077143311595,0.7593030006501371,4367,32
lossguide,0,32,0.005,1,0.8,0.8,0.1,2.0,0.6845077143311595,0.7592843157852976,4765,32
depthwise,6,0,0.0025,1,0.8,1.0,0.1,2.0,0.6837919516462542,0.7592820892882011,9813,6
depthwise,6,0,0.0025,10,0.8,0.8,0.0,2.0,0.6836328932718307,0.7592660104370088,9396,6
depthwise,6,0,0.0025,5,0.8,0.8,0.1,2.0,0.6837919516462542,0.7592636574343953,9396,6
depthwise,6,0,0.0025,5,0.8,0.8,0.0,2.0,0.6836328932718307,0.7592554851780065,9398,6
depthwise,6,0,0.005,10,0.8,0.8,0.1,1.0,0.6833943057101957,0.7592445424507985,4395,6
depthwise,6,0,0.0025,5,0.8,0.8,0.0,1.0,0.6847463018927946,0.7592422906525984,9279,6
depthwise,4,0,0.005,1,1.0,1.0,0.1,2.0,0.6844281851439479,0.7592213286884556,8848,4
lossguide,0,32,0.005,5,0.8,0.8,0.1,1.0,0.6848258310800064,0.7592082606685644,4893,32
depthwise,4,0,0.0025,1,1.0,1.0,0.1,1.0,0.6849848894544298,0.7592078432003588,16863,4
lossguide,0,32,0.005,10,0.8,0.8,0.0,2.0,0.6857006521393352,0.7591954962619138,4412,32
